iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -7353.28 0.00283162 0 0 2.87711 0 0 2.98496 0 0 0.80065 0 0 3.52547 0 0 0.579276 0 0 1.51011 0 0 4.72392 0 0 5.48819 0 0 0.6 0 0 0 0
40 -2096.65 0.00974848 40 9 1.20758 40 10 0.761952 40 5 0.106107 40 6 0.0167336 40 10 0.11884 40 7 0.384769 40 4 0.170039 40 13 0.0731351 40 7 0.6 0 0 19280 15502
80 -2093.81 0.00837824 40 11 1.46227 40 7 0.943003 40 11 0.191575 40 9 0.0417433 40 9 0.0979305 40 10 0.346283 40 10 0.0903204 40 4 0.450713 40 8 0.6 0 0 19280 15686
120 -2117.33 0.014352 40 6 0.828855 40 5 0.579075 40 6 0.182276 40 10 0.153166 40 15 0.114484 40 7 0.631093 40 5 0.118011 40 7 0.439084 40 9 0.6 0 0 19280 15639
160 -2130.45 0.0107532 40 6 0.767657 40 12 0.437326 40 6 0.140926 40 7 0.0452078 40 19 0.159385 40 11 0.692169 40 7 0.230035 40 13 0.751247 40 10 0.6 0 0 19280 15934
200 -2142.63 0.0149113 40 11 0.816283 40 6 0.418889 40 6 0.234294 40 10 0.0398577 40 17 0.147946 40 9 0.424819 40 4 0.162061 40 7 0.535952 40 11 0.6 0 0 19280 15957
240 -2115.03 0.0148996 40 6 0.846293 40 8 0.389372 40 11 0.156398 40 3 0.0377261 40 14 0.108781 40 9 0.575887 40 5 0.12868 40 13 0.0679305 40 7 0.6 0 0 19280 15997
280 -2156.01 0.0120255 40 7 0.831723 40 7 0.660444 40 8 0.377248 40 10 0.0755011 40 15 0.175263 40 9 0.629972 40 4 0.364385 40 8 0.280459 40 8 0.6 0 0 19280 16007
320 -2110.3 0.0145922 40 7 1.35651 40 9 0.940447 40 9 0.0862736 40 14 0.108175 40 8 0.053094 40 13 0.472919 40 6 0.151096 40 15 0.243864 40 8 0.6 0 0 19280 15896
360 -2106.79 0.0126311 40 10 1.08454 40 4 0.6982 40 14 0.267858 40 9 0.0555024 40 13 0.131462 40 7 0.388202 40 8 0.155319 40 9 0.290186 40 7 0.6 0 0 19280 15913
400 -2132.56 0.0144901 40 7 0.858716 40 9 0.508596 40 9 0.184256 40 9 0.0746792 40 14 0.0825728 40 8 0.519124 40 6 0.239662 40 8 0.139331 40 14 0.6 0 0 19280 15976
440 -2138.66 0.018282 40 7 0.805362 40 7 0.530397 40 8 0.277379 40 8 0.071276 40 14 0.137777 40 19 0.757021 40 5 0.130816 40 13 0.261922 40 12 0.6 0 0 19280 16150
480 -2112.89 0.0131941 40 7 0.833131 40 13 0.564258 40 8 0.163451 40 10 0.0490884 40 14 0.190969 40 6 0.469113 40 8 0.183914 40 6 0.442081 40 7 0.6 0 0 19280 15995
520 -2124.43 0.0141215 40 8 0.966983 40 10 0.518782 40 9 0.171882 40 16 0.0451838 40 13 0.0783526 40 11 0.419918 40 2 0.0867122 40 10 0.452015 40 15 0.6 0 0 19280 15858
560 -2124.78 0.0127234 40 9 0.973726 40 8 0.775795 40 10 0.076669 40 7 0.0435901 40 13 0.191534 40 10 0.55017 40 10 0.13294 40 6 0.113504 40 10 0.6 0 0 19280 16126
600 -2134.08 0.0101762 40 7 1.00284 40 6 0.993357 40 9 0.137204 40 11 0.0880218 40 16 0.157673 40 10 0.552672 40 4 0.115181 40 9 0.86203 40 10 0.6 0 0 19280 15824
640 -2134.11 0.013405 40 6 0.948913 40 3 0.676831 40 7 0.216253 40 10 0.078295 40 19 0.148292 40 5 0.398462 40 7 0.304547 40 11 0.26446 40 13 0.6 0 0 19280 15775
680 -2115.29 0.0126938 40 11 1.00679 40 9 0.513803 40 8 0.0965639 40 4 0.0426023 40 13 0.169016 40 11 0.42611 40 3 0.0936575 40 8 0.449676 40 9 0.6 0 0 19280 15899
720 -2136.74 0.0152332 40 5 0.982821 40 7 0.665605 40 10 0.0807388 40 4 0.119085 40 8 0.0565924 40 12 0.363114 40 10 0.171615 40 10 0.475137 40 6 0.6 0 0 19280 15944
760 -2083.73 0.0132202 40 6 1.40704 40 6 0.843986 40 4 0.100039 40 6 0.0310595 40 7 0.0743486 40 14 0.320692 40 6 0.187021 40 8 0.344067 40 8 0.6 0 0 19280 15678
