iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -7325.93 0.00283162 0 0 2.87711 0 0 2.98496 0 0 0.80065 0 0 3.52547 0 0 0.579276 0 0 1.51011 0 0 4.72392 0 0 5.48819 0 0 0.6 0 0 0 0
40 -2078.41 0.00947913 40 13 1.34784 40 7 0.725329 40 6 0.267542 40 13 0.0133692 40 16 0.0721372 40 18 0.41899 40 5 0.156285 40 10 0.389091 40 12 0.6 0 0 19360 15884
80 -2133.57 0.00977262 40 13 1.20451 40 5 0.529913 40 6 0.130309 40 7 0.06341 40 14 0.112575 40 6 0.34443 40 7 0.14004 40 13 0.177491 40 9 0.6 0 0 19360 15771
120 -2121.2 0.0111171 40 12 1.24948 40 5 0.928092 40 8 0.277794 40 8 0.0238128 40 12 0.120472 40 8 0.426214 40 7 0.234324 40 6 0.243397 40 6 0.6 0 0 19360 15664
160 -2117.9 0.0123264 40 6 1.00066 40 6 0.986106 40 13 0.17591 40 14 0.0235092 40 12 0.103444 40 11 0.491214 40 8 0.294964 40 10 0.22874 40 14 0.6 0 0 19360 15649
200 -2149.82 0.0125281 40 8 1.4539 40 8 0.846458 40 13 0.159642 40 3 0.0352246 40 14 0.0652944 40 6 0.341122 40 3 0.123651 40 8 0.295033 40 10 0.6 0 0 19360 16031
240 -2127.75 0.0133403 40 3 1.16323 40 5 0.850029 40 10 0.280485 40 3 0.0705111 40 9 0.101561 40 5 0.363532 40 6 0.0894176 40 8 0.234051 40 9 0.6 0 0 19360 15735
280 -2129.05 0.00952886 40 10 1.23007 40 8 0.908665 40 13 0.2448 40 11 0.0924443 40 11 0.142901 40 5 0.65408 40 8 0.171687 40 10 0.353648 40 9 0.6 0 0 19360 15747
320 -2115.53 0.0121315 40 10 1.12125 40 8 0.183477 40 7 0.173361 40 10 0.0549905 40 14 0.101741 40 10 0.414822 40 5 0.190048 40 3 0.281063 40 8 0.6 0 0 19360 15787
360 -2133.61 0.0140058 40 10 0.875484 40 5 0.514654 40 11 0.290838 40 10 0.0634936 40 5 0.127357 40 7 0.558199 40 9 0.143856 40 12 0.641197 40 12 0.6 0 0 19360 15869
400 -2132.91 0.012167 40 6 1.03616 40 5 0.90602 40 3 0.162013 40 9 0.11902 40 9 0.174018 40 8 0.501515 40 6 0.271103 40 12 0.209845 40 13 0.6 0 0 19360 15809
440 -2095.24 0.00863517 40 6 1.18394 40 8 0.388845 40 7 0.0970326 40 15 0.0581305 40 11 0.12172 40 11 0.455814 40 4 0.123934 40 6 0.176406 40 13 0.6 0 0 19360 15674
480 -2126.06 0.0106361 40 9 1.14142 40 5 0.69596 40 6 0.0879829 40 13 0.0216111 40 13 0.107147 40 11 0.408196 40 4 0.199835 40 10 0.817009 40 10 0.6 0 0 19360 15599
520 -2137.67 0.00995519 40 8 1.16921 40 9 0.658203 40 8 0.119654 40 8 0.0332092 40 13 0.172558 40 10 0.52814 40 5 0.198575 40 7 0.242389 40 10 0.6 0 0 19360 15950
560 -2142.79 0.0134424 40 9 1.04521 40 9 0.63448 40 7 0.252117 40 9 0.0224536 40 8 0.153617 40 7 0.574549 40 5 0.173492 40 12 0.0580289 40 13 0.6 0 0 19360 15732
600 -2131.41 0.00987484 40 8 1.31545 40 9 0.798178 40 9 0.0784615 40 10 0.0806525 40 8 0.131214 40 11 0.372792 40 8 0.10855 40 6 0.728848 40 12 0.6 0 0 19360 15913
640 -2098.01 0.0107867 40 6 1.40801 40 7 0.816524 40 10 0.16279 40 9 0.0256602 40 13 0.108605 40 6 0.450419 40 1 0.135127 40 9 0.175415 40 12 0.6 0 0 19360 15581
680 -2104.63 0.0113633 40 9 1.2903 40 5 0.458242 40 12 0.192133 40 8 0.0616377 40 12 0.157092 40 7 0.46324 40 4 0.116534 40 5 0.086748 40 9 0.6 0 0 19360 15740
720 -2109.96 0.00970096 40 11 0.914045 40 4 0.284068 40 11 0.403366 40 14 0.0400431 40 4 0.148248 40 7 0.522689 40 4 0.178754 40 6 0.218975 40 11 0.6 0 0 19360 15702
760 -2112.99 0.0133065 40 5 1.06004 40 4 0.5421 40 6 0.250117 40 9 0.0655112 40 7 0.125073 40 4 0.524813 40 6 0.115489 40 7 0.105841 40 10 0.6 0 0 19360 15628
