iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -5577.2 0.861608 0 0 3.85595 0 0 2.88016 0 0 1.30568 0 0 0.725368 0 0 0.132755 0 0 0.540978 0 0 2.53237 0 0 9.70574 0 0 0.6 0 0 0 0
40 -1443.07 0.0242705 40 8 0.776437 40 12 0.381038 40 16 0.706355 40 11 0.120534 40 15 0.0735853 40 19 0.47276 40 15 0.253937 40 16 0.124138 40 14 0.6 0 0 13080 9231
80 -1436 0.0212271 40 8 1.32843 40 10 0.719302 40 8 0.170182 40 13 0.178422 40 11 0.081044 40 10 0.405279 40 5 0.214458 40 10 0.461401 40 18 0.6 0 0 13080 10674
120 -1417.62 0.0144232 40 9 1.7212 40 10 0.61403 40 4 0.101787 40 14 0.0599417 40 15 0.136631 40 10 0.39399 40 4 0.197471 40 8 0.374886 40 8 0.6 0 0 13080 10250
160 -1409.43 0.0131694 40 15 1.76549 40 6 0.569578 40 5 0.143 40 10 0.109943 40 12 0.0906707 40 13 0.298184 40 8 0.198965 40 3 1.06464 40 16 0.6 0 0 13080 10532
200 -1417.26 0.0220452 40 12 1.62681 40 6 0.970914 40 7 0.500407 40 8 0.128742 40 12 0.10657 40 10 0.467083 40 6 0.164827 40 8 0.117487 40 18 0.6 0 0 13080 10430
240 -1433.89 0.0206937 40 8 1.4601 40 11 0.765463 40 3 0.302144 40 10 0.126362 40 9 0.125511 40 12 0.464647 40 5 0.346876 40 14 0.186858 40 13 0.6 0 0 13080 10624
280 -1437.78 0.0255202 40 11 1.10691 40 10 0.604218 40 9 0.221328 40 10 0.117767 40 11 0.0926656 40 15 0.667956 40 8 0.32566 40 20 0.772445 40 9 0.6 0 0 13080 10673
320 -1402.26 0.0217946 40 10 1.36294 40 6 0.513068 40 8 0.451278 40 8 0.119482 40 12 0.0843537 40 14 0.45405 40 6 0.156521 40 7 0.344168 40 9 0.6 0 0 13080 10535
360 -1411.64 0.0166235 40 12 1.29271 40 4 0.463967 40 6 0.610632 40 7 0.138889 40 14 0.0534999 40 14 0.555103 40 8 0.266944 40 11 0.220405 40 11 0.6 0 0 13080 10392
