iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -21211.2 0.548612 0 0 3.63965 0 0 -1.51893 0 0 2.36357 0 0 0.809117 0 0 4.4017 0 0 2.35771 0 0 2.85415 0 0 2.32525 0 0 0.6 0 0 0 0
40 -2156.84 0.0178366 40 9 0.451952 40 21 0.461657 40 20 0.476454 40 12 0.168094 40 11 0.221276 40 10 1.13318 40 12 0.074009 40 13 0.423769 40 14 0.6 0 0 19360 15132
80 -2114.48 0.0102038 40 6 1.08895 40 11 0.884833 40 13 0.312461 40 8 0.0205097 40 10 0.147184 40 9 0.710114 40 5 0.178127 40 8 0.0746291 40 13 0.6 0 0 19360 15883
120 -2105.43 0.0127458 40 8 0.787719 40 2 0.592761 40 11 0.109268 40 7 0.0775133 40 10 0.146012 40 6 0.579537 40 6 0.0771497 40 9 0.365764 40 18 0.6 0 0 19360 15851
160 -2115.76 0.0130738 40 5 1.11523 40 3 0.453694 40 9 0.0571625 40 5 0.0590525 40 10 0.13359 40 8 0.381863 40 7 0.2624 40 11 0.215188 40 10 0.6 0 0 19360 15955
200 -2147.99 0.0115521 40 3 0.793094 40 3 0.0311794 40 9 0.368654 40 10 0.0910655 40 15 0.160026 40 11 0.501432 40 8 0.214788 40 9 0.253227 40 11 0.6 0 0 19360 15791
240 -2129.34 0.0129274 40 7 1.05708 40 9 0.819625 40 11 0.223207 40 10 0.0538424 40 9 0.0952845 40 7 0.434654 40 6 0.113807 40 5 0.221336 40 13 0.6 0 0 19360 15711
280 -2130.21 0.0106371 40 8 1.50501 40 12 0.790665 40 4 0.133982 40 6 0.0271741 40 10 0.0972433 40 9 0.331105 40 6 0.167905 40 9 0.0960338 40 12 0.6 0 0 19360 15664
320 -2103.43 0.0138845 40 10 1.09459 40 5 0.760464 40 4 0.156848 40 6 0.0772352 40 12 0.0850634 40 7 0.438931 40 5 0.178785 40 12 0.147864 40 12 0.6 0 0 19360 15606
360 -2108.58 0.00922202 40 8 1.21769 40 4 0.682835 40 10 0.239035 40 7 0.0702052 40 12 0.110973 40 8 0.444992 40 6 0.180767 40 8 0.151105 40 9 0.6 0 0 19360 15496
400 -2101.65 0.00609654 40 6 1.17075 40 8 0.586174 40 7 0.177118 40 11 0.0328117 40 8 0.164372 40 6 0.554353 40 8 0.182379 40 12 0.207378 40 8 0.6 0 0 19360 15588
440 -2111.89 0.0154482 40 11 1.11768 40 5 0.659072 40 7 0.267093 40 12 0.0884453 40 12 0.0809937 40 7 0.399966 40 6 0.124776 40 7 0.463952 40 6 0.6 0 0 19360 15666
480 -2129.05 0.00897837 40 3 1.14717 40 6 0.147217 40 10 0.0631384 40 8 0.0714629 40 9 0.112356 40 13 0.397425 40 4 0.119133 40 5 0.209369 40 8 0.6 0 0 19360 15737
520 -2100.18 0.0078921 40 9 1.42788 40 5 0.68403 40 6 0.219642 40 8 0.024634 40 12 0.0959555 40 5 0.295731 40 5 0.121684 40 11 0.213338 40 10 0.6 0 0 19360 15540
560 -2136.09 0.0141397 40 8 1.20187 40 7 0.553348 40 6 0.114984 40 6 0.0445054 40 13 0.101535 40 9 0.335576 40 9 0.164605 40 15 0.441166 40 10 0.6 0 0 19360 15800
600 -2100.58 0.0117906 40 3 0.959225 40 8 0.499334 40 7 0.23649 40 9 0.0781898 40 14 0.0957665 40 9 0.63682 40 5 0.247667 40 12 0.0473458 40 11 0.6 0 0 19360 15789
640 -2117.61 0.0121082 40 3 0.891333 40 10 0.340801 40 8 0.300208 40 10 0.0401663 40 10 0.168631 40 9 0.384279 40 4 0.143011 40 12 0.213309 40 10 0.6 0 0 19360 15748
680 -2113.28 0.0103097 40 7 1.16554 40 3 0.393751 40 9 0.14352 40 10 0.117485 40 20 0.110931 40 5 0.412655 40 7 0.112684 40 5 0.376628 40 13 0.6 0 0 19360 15705
720 -2117.58 0.0101718 40 14 1.13298 40 4 0.208288 40 12 0.348012 40 6 0.100016 40 8 0.120465 40 4 0.439225 40 10 0.156162 40 7 0.269735 40 9 0.6 0 0 19360 15531
760 -2086.14 0.0107455 40 12 0.97652 40 9 0.492329 40 9 0.364868 40 12 0.0642084 40 11 0.144155 40 8 0.50417 40 3 0.267546 40 9 0.0898918 40 11 0.6 0 0 19360 15766
800 -2120.27 0.0153526 40 4 0.931866 40 9 0.605943 40 10 0.156802 40 7 0.0570282 40 9 0.141041 40 7 0.677086 40 2 0.113585 40 7 0.131255 40 11 0.6 0 0 19360 15726
840 -2122.28 0.00844478 40 12 1.05573 40 5 0.546611 40 10 0.233016 40 7 0.0871214 40 13 0.205756 40 10 0.44876 40 4 0.173787 40 12 0.291606 40 11 0.6 0 0 19360 15735
