iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -17436 0.548612 0 0 3.63965 0 0 -1.51893 0 0 2.36357 0 0 0.809117 0 0 4.4017 0 0 2.35771 0 0 2.85415 0 0 2.32525 0 0 0.6 0 0 0 0
40 -1769.07 0.0184869 40 11 0.438304 40 19 0.373957 40 20 0.153787 40 9 0.128367 40 9 0.11907 40 15 1.01392 40 11 0.233107 40 11 0.195247 40 16 0.6 0 0 15480 12348
80 -1743.62 0.0137796 40 13 0.489903 40 6 -0.203787 40 12 0.227514 40 9 0.149099 40 18 0.184094 40 14 0.959697 40 10 0.362332 40 9 0.393639 40 12 0.6 0 0 15480 12916
120 -1745.25 0.0144405 40 7 0.647709 40 9 0.3533 40 13 0.239615 40 7 0.0766842 40 16 0.209644 40 10 0.706281 40 10 0.250508 40 8 0.23137 40 16 0.6 0 0 15480 12990
160 -1695.47 0.00944737 40 9 0.808774 40 9 0.24046 40 11 0.128355 40 9 0.0330426 40 9 0.211236 40 16 0.708223 40 5 0.191644 40 8 0.181065 40 5 0.6 0 0 15480 12591
200 -1732.02 0.0141097 40 10 0.667133 40 8 0.243406 40 13 0.127569 40 9 0.0683579 40 9 0.208436 40 12 0.687228 40 3 0.141766 40 10 0.553742 40 10 0.6 0 0 15480 12784
240 -1712.6 0.0115705 40 8 0.929488 40 6 0.672687 40 10 0.168501 40 8 0.048151 40 14 0.175759 40 8 0.435108 40 6 0.14494 40 9 0.178976 40 11 0.6 0 0 15480 12611
280 -1706.78 0.0107771 40 6 1.04997 40 8 0.508438 40 7 0.146494 40 15 0.0860795 40 12 0.184265 40 12 0.460989 40 5 0.267441 40 6 0.20224 40 13 0.6 0 0 15480 12656
320 -1708.73 0.00983883 40 15 1.05013 40 7 0.755557 40 10 0.309488 40 6 0.0527871 40 5 0.216712 40 9 0.570228 40 4 0.156369 40 7 0.171451 40 9 0.6 0 0 15480 12451
360 -1710.85 0.0117645 40 11 0.733864 40 12 0.600086 40 9 0.28679 40 6 0.0403136 40 12 0.232504 40 13 0.834511 40 7 0.27865 40 9 0.366458 40 12 0.6 0 0 15480 12443
