"hhsize","nInfContacts","nContacts","sim"
2,12,32,1
3,26,82,1
4,43,144,1
5,60,180,1
6,36,100,1
7,19,54,1
8,32,63,1
12,3,11,1
2,12,32,2
3,22,82,2
4,33,144,2
5,60,180,2
6,38,100,2
7,22,54,2
8,33,63,2
12,0,11,2
2,13,32,3
3,31,82,3
4,47,144,3
5,57,180,3
6,36,100,3
7,17,54,3
8,28,63,3
12,4,11,3
2,11,32,4
3,25,82,4
4,35,144,4
5,52,180,4
6,47,100,4
7,22,54,4
8,30,63,4
12,2,11,4
2,11,32,5
3,27,82,5
4,37,144,5
5,68,180,5
6,39,100,5
7,20,54,5
8,26,63,5
12,3,11,5
2,9,32,6
3,15,82,6
4,38,144,6
5,64,180,6
6,26,100,6
7,25,54,6
8,27,63,6
12,3,11,6
2,14,32,7
3,21,82,7
4,50,144,7
5,62,180,7
6,37,100,7
7,26,54,7
8,26,63,7
12,4,11,7
2,7,32,8
3,23,82,8
4,44,144,8
5,53,180,8
6,29,100,8
7,18,54,8
8,32,63,8
12,3,11,8
2,9,32,9
3,29,82,9
4,31,144,9
5,73,180,9
6,20,100,9
7,23,54,9
8,30,63,9
12,0,11,9
2,11,32,10
3,28,82,10
4,40,144,10
5,63,180,10
6,45,100,10
7,21,54,10
8,34,63,10
12,3,11,10
2,9,32,11
3,29,82,11
4,39,144,11
5,58,180,11
6,34,100,11
7,24,54,11
8,20,63,11
12,1,11,11
2,9,32,12
3,32,82,12
4,34,144,12
5,66,180,12
6,36,100,12
7,16,54,12
8,18,63,12
12,4,11,12
2,8,32,13
3,30,82,13
4,30,144,13
5,46,180,13
6,30,100,13
7,23,54,13
8,26,63,13
12,3,11,13
2,11,32,14
3,24,82,14
4,41,144,14
5,50,180,14
6,29,100,14
7,18,54,14
8,27,63,14
12,2,11,14
2,11,32,15
3,29,82,15
4,45,144,15
5,62,180,15
6,39,100,15
7,21,54,15
8,28,63,15
12,0,11,15
2,11,32,16
3,23,82,16
4,36,144,16
5,51,180,16
6,29,100,16
7,16,54,16
8,17,63,16
12,2,11,16
2,12,32,17
3,25,82,17
4,44,144,17
5,68,180,17
6,36,100,17
7,19,54,17
8,22,63,17
12,2,11,17
2,9,32,18
3,26,82,18
4,31,144,18
5,64,180,18
6,48,100,18
7,21,54,18
8,17,63,18
12,2,11,18
2,13,32,19
3,37,82,19
4,40,144,19
5,62,180,19
6,44,100,19
7,24,54,19
8,33,63,19
12,2,11,19
2,13,32,20
3,26,82,20
4,35,144,20
5,75,180,20
6,38,100,20
7,21,54,20
8,28,63,20
12,3,11,20
2,10,32,21
3,33,82,21
4,38,144,21
5,66,180,21
6,39,100,21
7,26,54,21
8,29,63,21
12,3,11,21
2,8,32,22
3,34,82,22
4,39,144,22
5,54,180,22
6,29,100,22
7,20,54,22
8,26,63,22
12,2,11,22
2,8,32,23
3,25,82,23
4,37,144,23
5,70,180,23
6,41,100,23
7,27,54,23
8,26,63,23
12,2,11,23
2,12,32,24
3,37,82,24
4,44,144,24
5,51,180,24
6,39,100,24
7,23,54,24
8,30,63,24
12,2,11,24
2,9,32,25
3,21,82,25
4,33,144,25
5,58,180,25
6,35,100,25
7,21,54,25
8,24,63,25
12,4,11,25
2,10,32,26
3,24,82,26
4,38,144,26
5,52,180,26
6,38,100,26
7,24,54,26
8,25,63,26
12,0,11,26
2,13,32,27
3,33,82,27
4,43,144,27
5,59,180,27
6,35,100,27
7,24,54,27
8,27,63,27
12,3,11,27
2,12,32,28
3,30,82,28
4,42,144,28
5,65,180,28
6,36,100,28
7,28,54,28
8,28,63,28
12,3,11,28
2,13,32,29
3,20,82,29
4,34,144,29
5,64,180,29
6,38,100,29
7,17,54,29
8,26,63,29
12,1,11,29
2,11,32,30
3,25,82,30
4,37,144,30
5,64,180,30
6,36,100,30
7,23,54,30
8,33,63,30
12,1,11,30
2,7,32,31
3,30,82,31
4,38,144,31
5,44,180,31
6,36,100,31
7,25,54,31
8,23,63,31
12,2,11,31
2,13,32,32
3,24,82,32
4,42,144,32
5,64,180,32
6,31,100,32
7,29,54,32
8,31,63,32
12,1,11,32
2,9,32,33
3,21,82,33
4,53,144,33
5,58,180,33
6,41,100,33
7,24,54,33
8,29,63,33
12,0,11,33
2,9,32,34
3,27,82,34
4,39,144,34
5,61,180,34
6,37,100,34
7,23,54,34
8,22,63,34
12,2,11,34
