iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -2481.62 0.004 0 0 0.5 0 0 1 0 0 0.3 0 0 0.4 0 0 0.9 0 0 0.8 0 0 1 0 0 0.5 0 0 0.6 0 0 0 0
10 -2157.47 0.0151337 10 4 0.593042 10 4 0.45738 10 2 0.096031 10 2 0.0575752 10 5 0.215831 10 3 0.759248 10 1 0.438802 10 1 0.280897 10 4 0.6 0 0 4820 4073
20 -2164.36 0.0124057 10 2 0.539562 10 3 0.415425 10 3 0.099654 10 3 0.239427 10 5 0.183658 10 6 1.03234 10 2 0.431728 10 3 0.208847 10 3 0.6 0 0 4820 4035
30 -2180.14 0.012688 10 1 0.620565 10 3 0.638656 10 3 0.335427 10 1 0.127917 10 5 0.249742 10 2 0.976064 10 1 0.075856 10 2 0.218435 10 5 0.6 0 0 4820 4038
40 -2154.28 0.0158733 10 2 0.620565 10 0 0.82376 10 6 0.188896 10 3 0.066184 10 3 0.0946921 10 5 0.821304 10 4 0.19015 10 3 0.106756 10 5 0.6 0 0 4820 4057
50 -2170.82 0.0113594 10 3 0.932562 10 3 0.809682 10 1 0.180968 10 3 0.110013 10 3 0.138772 10 2 0.467401 10 2 0.172293 10 1 0.562903 10 3 0.6 0 0 4820 4042
60 -2121.61 0.0127167 10 2 0.896673 10 1 0.685434 10 1 0.180968 10 0 0.0685892 10 1 0.138772 10 0 0.510872 10 1 0.164113 10 1 0.272458 10 2 0.6 0 0 4820 3951
70 -2138.33 0.0129134 10 2 0.924818 10 2 0.602946 10 1 0.208755 10 2 0.0831149 10 2 0.149423 10 3 0.614195 10 2 0.219965 10 2 0.673305 10 5 0.6 0 0 4820 4007
80 -2195.56 0.0129134 10 0 0.697552 10 2 1.32604 10 4 0.10995 10 3 0.0707628 10 4 0.129427 10 5 0.614195 10 0 0.31826 10 3 0.507203 10 6 0.6 0 0 4820 4070
90 -2156.37 0.013874 10 4 0.795869 10 1 1.09536 10 4 0.126269 10 2 0.0636077 10 2 0.169353 10 4 0.614195 10 0 0.31826 10 0 0.225024 10 1 0.6 0 0 4820 4071
100 -2184.52 0.0143061 10 4 0.795869 10 0 0.787412 10 3 0.453229 10 5 0.0600166 10 1 0.11004 10 3 0.461626 10 2 0.10243 10 2 0.310374 10 1 0.6 0 0 4820 4043
110 -2120.96 0.015991 10 1 0.922479 10 1 0.701564 10 2 0.182669 10 5 0.0979172 10 5 0.0747877 10 3 0.461626 10 0 0.205487 10 1 0.0686686 10 5 0.6 0 0 4820 4073
120 -2166.87 0.0135501 10 4 0.790501 10 4 0.428824 10 6 0.180659 10 2 0.150983 10 5 0.105005 10 4 0.496258 10 2 0.166938 10 4 0.819133 10 7 0.6 0 0 4820 3983
130 -2125.25 0.0135501 10 0 0.790501 10 0 0.662348 10 1 0.067499 10 6 0.103525 10 5 0.145874 10 1 0.697534 10 1 0.0707675 10 3 0.351963 10 3 0.6 0 0 4820 4023
140 -2134.97 0.014076 10 3 0.728928 10 2 0.831813 10 1 0.334971 10 3 0.0781809 10 6 0.134579 10 7 0.697534 10 0 0.239859 10 2 0.428449 10 4 0.6 0 0 4820 4055
150 -2133.84 0.0115455 10 3 1.0383 10 3 0.943218 10 2 0.0493042 10 2 0.0947615 10 3 0.103293 10 4 0.474937 10 1 0.107026 10 2 0.752423 10 5 0.6 0 0 4820 4014
160 -2151.24 0.0115455 10 0 1.01425 10 2 0.804115 10 3 0.11058 10 2 0.0697865 10 6 0.0903199 10 1 0.472255 10 3 0.159029 10 3 0.444282 10 4 0.6 0 0 4820 3995
170 -2107.57 0.0146632 10 3 1.02967 10 1 0.817985 10 3 0.234146 10 1 0.0606929 10 4 0.12436 10 4 0.601767 10 1 0.159029 10 0 0.19489 10 6 0.6 0 0 4820 3998
180 -2132.47 0.0130158 10 1 1.03722 10 4 0.797067 10 2 0.166515 10 1 0.0418706 10 6 0.0711111 10 3 0.418797 10 3 0.173326 10 1 0.0696671 10 4 0.6 0 0 4820 3994
190 -2154.62 0.0108673 10 1 1.05022 10 2 0.778637 10 1 0.133102 10 3 0.116496 10 3 0.077822 10 5 0.418797 10 0 0.108899 10 2 0.675285 10 3 0.6 0 0 4820 3949
200 -2145.58 0.015079 10 2 1.07316 10 1 0.778637 10 0 0.133102 10 0 0.0569278 10 5 0.0846445 10 6 0.335557 10 1 0.152214 10 3 0.224706 10 3 0.6 0 0 4820 3998
210 -2168.42 0.0161028 10 2 1.06708 10 3 1.37271 10 5 0.0520951 10 2 0.0338063 10 4 0.117571 10 3 0.379767 10 2 0.115797 10 3 0.41924 10 2 0.6 0 0 4820 4050
220 -2133.36 0.0124496 10 2 1.06708 10 0 0.859401 10 2 0.217856 10 2 0.039874 10 5 0.130211 10 1 0.428003 10 3 0.0735942 10 2 0.297633 10 2 0.6 0 0 4820 3970
230 -2168.91 0.0124496 10 0 1.08206 10 2 0.839319 10 2 0.217856 10 0 0.0819656 10 4 0.0404355 10 5 0.469411 10 1 0.0506273 10 4 0.445167 10 5 0.6 0 0 4820 3991
240 -2136.67 0.0127551 10 2 1.08206 10 0 0.844435 10 2 0.0646773 10 3 0.0297025 10 5 0.122049 10 2 0.417193 10 2 0.132068 10 3 0.442127 10 3 0.6 0 0 4820 3972
250 -2122.01 0.0127551 10 0 1.19504 10 3 1.13139 10 2 0.233481 10 3 0.01871 10 8 0.0974575 10 1 0.324207 10 2 0.0873082 10 1 0.439573 10 5 0.6 0 0 4820 3986
260 -2138.27 0.0119112 10 2 1.19504 10 0 0.685158 10 2 0.119671 10 1 0.0350356 10 2 0.0765787 10 3 0.386101 10 3 0.199391 10 2 0.625494 10 4 0.6 0 0 4820 3928
270 -2162.57 0.0128099 10 1 0.990371 10 3 0.957311 10 1 0.0861126 10 4 0.0533238 10 4 0.125433 10 4 0.38699 10 1 0.187031 10 2 0.529157 10 2 0.6 0 0 4820 3980
280 -2165.34 0.0128099 10 0 0.948263 10 1 0.467651 10 2 0.192911 10 2 0.028239 10 7 0.120791 10 2 0.38699 10 0 0.0849252 10 1 0.421103 10 7 0.6 0 0 4820 4022
290 -2167.91 0.0119905 10 1 1.02826 10 1 0.574807 10 3 0.247706 10 4 0.069669 10 6 0.100802 10 2 0.509389 10 2 0.138987 10 1 0.469445 10 4 0.6 0 0 4820 3974
300 -2154.41 0.0118656 10 2 0.840952 10 3 1.12428 10 6 0.340223 10 1 0.0774671 10 6 0.0719616 10 2 0.533692 10 1 0.121491 10 1 0.527792 10 3 0.6 0 0 4820 4032
310 -2152.5 0.0148486 10 3 0.800977 10 2 0.576503 10 2 0.247517 10 5 0.110683 10 5 0.0554963 10 3 0.533692 10 0 0.136803 10 1 0.64152 10 5 0.6 0 0 4820 3983
320 -2150.24 0.0137295 10 1 0.800977 10 0 0.361809 10 2 0.125105 10 3 0.069197 10 3 0.0596366 10 4 0.499654 10 1 0.163843 10 3 0.425424 10 3 0.6 0 0 4820 4018
330 -2094.71 0.0131965 10 3 0.91606 10 1 0.590861 10 1 0.203286 10 2 0.0589326 10 4 0.0925925 10 1 0.526283 10 3 0.214777 10 1 0.713446 10 7 0.6 0 0 4820 4035
340 -2128.74 0.0131965 10 0 0.805435 10 5 0.836512 10 2 0.203286 10 0 0.064809 10 4 0.129254 10 1 0.524383 10 2 0.251743 10 5 0.345944 10 5 0.6 0 0 4820 3984
350 -2139 0.0143445 10 1 1.07209 10 2 0.550192 10 2 0.203286 10 0 0.0566825 10 4 0.109324 10 2 0.454305 10 1 0.098723 10 3 0.324613 10 7 0.6 0 0 4820 4036
360 -2129.11 0.0125486 10 2 0.926123 10 3 0.657075 10 3 0.12841 10 2 0.0858488 10 3 0.124751 10 1 0.454305 10 0 0.125745 10 1 0.660988 10 3 0.6 0 0 4820 3987
370 -2155.13 0.0142708 10 2 0.917398 10 1 0.929499 10 3 0.0576304 10 3 0.0369702 10 5 0.153303 10 2 0.343907 10 3 0.125745 10 0 0.101471 10 8 0.6 0 0 4820 4034
380 -2156.2 0.0133337 10 1 1.01702 10 2 0.935199 10 1 0.192389 10 2 0.039938 10 3 0.114535 10 2 0.512138 10 1 0.0496203 10 2 0.462926 10 3 0.6 0 0 4820 4044
390 -2160.96 0.0133337 10 0 0.883774 10 1 0.935199 10 0 0.192389 10 0 0.147191 10 5 0.114535 10 0 0.540313 10 1 0.124997 10 3 0.403949 10 4 0.6 0 0 4820 4038
400 -2161.16 0.0133165 10 2 1.18984 10 3 0.935199 10 0 0.0920285 10 3 0.0165039 10 3 0.0607506 10 3 0.430769 10 2 0.200784 10 5 0.38356 10 7 0.6 0 0 4820 3931
410 -2173.49 0.0133165 10 0 0.969801 10 2 0.692814 10 2 0.129265 10 2 0.0531469 10 6 0.0897912 10 3 0.446043 10 2 0.200784 10 0 0.108028 10 6 0.6 0 0 4820 4012
420 -2106.77 0.0121584 10 1 1.05834 10 4 0.657757 10 1 0.17207 10 3 0.069499 10 5 0.149045 10 2 0.408147 10 2 0.157863 10 5 0.234448 10 3 0.6 0 0 4820 3945
430 -2181.02 0.015245 10 5 1.016 10 5 0.842152 10 3 0.232062 10 3 0.0413455 10 2 0.0866208 10 6 0.408147 10 0 0.0979415 10 1 0.366833 10 3 0.6 0 0 4820 4030
440 -2151.84 0.015245 10 0 0.806888 10 1 0.846879 10 3 0.330834 10 2 0.0535225 10 5 0.0612604 10 2 0.819162 10 1 0.180568 10 1 0.49634 10 4 0.6 0 0 4820 4115
450 -2169.92 0.015245 10 0 0.777629 10 5 0.774649 10 6 0.137108 10 3 0.0770724 10 4 0.068532 10 3 0.40303 10 2 0.100227 10 2 1.69922 10 4 0.6 0 0 4820 4057
460 -2164.4 0.0166357 10 1 0.893308 10 1 0.596002 10 3 0.156827 10 3 0.110612 10 4 0.0725248 10 3 0.372048 10 1 0.18787 10 4 0.57928 10 3 0.6 0 0 4820 4035
470 -2182.56 0.014908 10 1 0.748969 10 1 0.551494 10 1 0.100544 10 2 0.0515588 10 5 0.126279 10 3 0.525135 10 1 0.177135 10 2 0.320601 10 5 0.6 0 0 4820 4072
480 -2159.51 0.014908 10 0 0.764676 10 1 0.729637 10 2 0.129065 10 3 0.106974 10 2 0.0878083 10 2 0.741798 10 3 0.141755 10 2 0.646842 10 3 0.6 0 0 4820 4084
490 -2145.74 0.0128441 10 1 0.876446 10 7 0.824411 10 2 0.0752753 10 3 0.0649583 10 5 0.090216 10 2 0.528273 10 1 0.0794992 10 1 0.398124 10 3 0.6 0 0 4820 4044
500 -2147.17 0.0128441 10 0 1.14712 10 1 1.06309 10 2 0.0752753 10 0 0.0780339 10 2 0.097219 10 4 0.364792 10 4 0.0564671 10 2 0.171543 10 4 0.6 0 0 4820 4008
510 -2207.83 0.012779 10 1 1.09457 10 3 1.13527 10 3 0.175265 10 2 0.0528847 10 5 0.0584569 10 4 0.477923 10 1 0.247104 10 4 0.16624 10 7 0.6 0 0 4820 4058
520 -2142.74 0.0108905 10 2 0.968792 10 2 0.989298 10 3 0.11929 10 1 0.0552993 10 6 0.0706105 10 3 0.625862 10 1 0.249122 10 1 0.327197 10 4 0.6 0 0 4820 3989
530 -2112.67 0.0108905 10 0 1.19949 10 3 0.865722 10 3 0.226754 10 3 0.0607036 10 1 0.0776024 10 7 0.481563 10 1 0.249122 10 0 0.170596 10 5 0.6 0 0 4820 3993
540 -2138.23 0.0112099 10 2 1.23472 10 1 0.848056 10 4 0.0763349 10 2 0.0366612 10 6 0.0568226 10 1 0.44148 10 1 0.249122 10 0 0.200844 10 4 0.6 0 0 4820 3952
550 -2131.64 0.0122472 10 3 1.01867 10 3 0.908804 10 1 0.0634662 10 4 0.0532337 10 2 0.0592441 10 7 0.44148 10 0 0.164969 10 2 0.438246 10 1 0.6 0 0 4820 3987
560 -2102.69 0.0136779 10 2 0.913369 10 3 0.817567 10 1 0.167798 10 3 0.0592414 10 3 0.102071 10 3 0.557313 10 2 0.150851 10 1 0.362091 10 3 0.6 0 0 4820 3962
570 -2148.89 0.0144324 10 1 1.07822 10 1 0.817567 10 0 0.16393 10 5 0.0308206 10 1 0.0872148 10 4 0.557313 10 0 0.232415 10 2 0.117766 10 5 0.6 0 0 4820 4043
580 -2155.12 0.0123849 10 3 1.18268 10 3 0.985352 10 1 0.234499 10 3 0.0878953 10 4 0.118787 10 5 0.567323 10 1 0.159051 10 2 0.175081 10 5 0.6 0 0 4820 3986
590 -2150.34 0.0112564 10 4 1.15299 10 1 1.1174 10 2 0.234499 10 0 0.0545658 10 2 0.129486 10 2 0.416968 10 4 0.0997087 10 2 0.170786 10 4 0.6 0 0 4820 3994
600 -2121.33 0.0106494 10 2 1.15299 10 0 1.1174 10 0 0.176301 10 2 0.0435189 10 7 0.116673 10 4 0.416968 10 0 0.129317 10 5 0.282219 10 5 0.6 0 0 4820 3974
