iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -2784.11 0.0002 0 0 0.2 0 0 0.5 0 0 0.2 0 0 0.6 0 0 0.3 0 0 1.5 0 0 0.8 0 0 0.3 0 0 1 0 0 0 0
10 -2166.36 0.000907322 10 5 0.328895 10 2 0.350399 10 1 0.515783 10 3 0.198443 10 4 0.864592 10 2 1.42359 10 1 0.8 10 0 0.264123 10 3 1 0 0 4820 3744
20 -2188.72 0.00993312 10 5 0.299235 10 3 0.399646 10 4 0.197122 10 2 0.460292 10 5 0.472792 10 2 1.56391 10 1 0.70389 10 1 0.196375 10 3 1 0 0 4820 3843
30 -2170.67 0.0101591 10 1 0.365091 10 2 0.622876 10 3 0.816505 10 2 0.245917 10 5 0.570082 10 1 1.47866 10 1 0.524973 10 1 0.0525807 10 6 1 0 0 4820 3970
40 -2162.82 0.0127096 10 2 0.412942 10 1 0.632213 10 5 0.382819 10 2 0.127237 10 3 0.216152 10 5 0.781438 10 5 0.284734 10 2 0.0593648 10 6 1 0 0 4820 4016
50 -2182.3 0.0127096 10 0 0.810945 10 3 1.15792 10 3 0.199829 10 2 0.121153 10 5 0.0995399 10 2 0.617153 10 1 0.257994 10 1 0.36316 10 5 1 0 0 4820 4029
60 -2140.55 0.0135605 10 1 0.779736 10 1 1.03367 10 1 0.199829 10 0 0.0618559 10 4 0.150608 10 1 0.45746 10 2 0.123682 10 2 0.175777 10 2 1 0 0 4820 3963
70 -2148.84 0.0137702 10 2 0.804211 10 2 0.951184 10 1 0.230512 10 2 0.0749556 10 2 0.162168 10 3 0.412367 10 3 0.20902 10 3 0.745526 10 6 1 0 0 4820 4008
80 -2209.3 0.0137702 10 0 0.606583 10 2 1.02536 10 4 0.121409 10 3 0.099504 10 4 0.0712275 10 4 0.412367 10 0 0.302423 10 3 0.26246 10 5 1 0 0 4820 4103
90 -2158.7 0.0147945 10 4 0.692078 10 1 1.10993 10 3 0.13943 10 2 0.0894428 10 2 0.148683 10 5 0.543586 10 1 0.302423 10 0 0.423134 10 2 1 0 0 4820 4044
100 -2182.85 0.0138612 10 3 0.692078 10 0 0.801978 10 3 0.500466 10 5 0.0636948 10 4 0.0966092 10 3 0.408557 10 2 0.0973331 10 2 0.0988756 10 3 1 0 0 4820 4005
110 -2125.83 0.0154936 10 1 0.802177 10 1 0.817198 10 1 0.201707 10 5 0.103918 10 5 0.105727 10 4 0.408557 10 0 0.195262 10 1 0.0721479 10 5 1 0 0 4820 4065
