iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -2474.64 2e-05 0 0 0.07 0 0 1.5 0 0 0.8 0 0 0.53 0 0 0.7 0 0 1 0 0 1.3 0 0 1 0 0 0.6 0 0 0 0
10 -1774.2 0.00415279 10 8 0.422906 10 5 1.36862 10 5 0.0328492 10 3 0.206983 10 5 0.937995 10 2 1.12267 10 1 0.433752 10 4 0.379366 10 4 0.6 0 0 3860 3001
20 -1753.03 0.0124921 10 5 0.545861 10 2 0.337001 10 4 0.151322 10 4 0.206983 10 0 0.159897 10 2 1.12267 10 0 0.274859 10 1 0.430932 10 5 0.6 0 0 3860 3110
30 -1737.64 0.0106076 10 2 0.571388 10 2 0.438565 10 2 0.210088 10 5 0.0908039 10 1 0.210731 10 2 1.15719 10 2 0.421358 10 1 0.189427 10 4 0.6 0 0 3860 3160
40 -1731.32 0.00938738 10 2 0.606641 10 3 0.51224 10 2 0.223478 10 1 0.022172 10 3 0.220647 10 2 0.684216 10 2 0.202989 10 2 1.36035 10 7 0.6 0 0 3860 3154
50 -1717.21 0.0154043 10 3 0.736359 10 4 0.652036 10 3 0.181099 10 2 0.0516849 10 5 0.200335 10 1 0.527596 10 2 0.194469 10 1 1.14719 10 1 0.6 0 0 3860 3132
60 -1715.85 0.0154043 10 0 0.800362 10 1 0.652036 10 0 0.154796 10 3 0.049768 10 1 0.0963718 10 6 0.646526 10 1 0.126339 10 3 0.388816 10 3 0.6 0 0 3860 3217
70 -1729.57 0.0183607 10 1 0.632815 10 2 0.350283 10 4 0.156173 10 4 0.0860056 10 3 0.111549 10 3 0.571846 10 3 0.134966 10 1 0.106428 10 5 0.6 0 0 3860 3277
80 -1760.79 0.0161717 10 1 0.846736 10 2 0.707036 10 5 0.103007 10 2 0.134967 10 4 0.076615 10 4 0.646417 10 1 0.20878 10 2 0.320265 10 5 0.6 0 0 3860 3283
90 -1699.3 0.0105305 10 7 0.945551 10 1 0.801919 10 1 0.0727694 10 3 0.0426901 10 6 0.194744 10 3 0.646417 10 0 0.26392 10 1 0.0372009 10 4 0.6 0 0 3860 3124
100 -1723.05 0.0137076 10 2 0.964196 10 2 0.801919 10 0 0.153509 10 2 0.0693721 10 3 0.0786605 10 3 0.646632 10 1 0.173585 10 1 0.0490707 10 3 0.6 0 0 3860 3122
110 -1755.88 0.0109792 10 1 0.782033 10 2 0.634453 10 2 0.0850035 10 1 0.0728249 10 2 0.204577 10 3 0.596886 10 1 0.184842 10 3 0.315049 10 2 0.6 0 0 3860 3238
120 -1747.08 0.0140428 10 1 0.535888 10 2 0.41957 10 4 0.0983114 10 3 0.0623007 10 7 0.185855 10 3 0.742286 10 1 0.446084 10 2 0.723515 10 5 0.6 0 0 3860 3170
130 -1727.62 0.0126229 10 3 0.491481 10 3 0.536054 10 2 0.19645 10 4 0.174566 10 7 0.211271 10 3 1.2253 10 1 0.35566 10 1 0.155239 10 3 0.6 0 0 3860 3183
140 -1749.64 0.00834975 10 1 0.556807 10 1 0.279354 10 3 0.186303 10 2 0.0754671 10 3 0.326638 10 2 0.737259 10 4 0.311526 10 1 0.559083 10 5 0.6 0 0 3860 3214
150 -1750.55 0.0121182 10 3 0.550234 10 1 0.522548 10 2 0.214242 10 2 0.255408 10 8 0.154815 10 2 0.850441 10 1 0.352162 10 1 0.246626 10 5 0.6 0 0 3860 3210
160 -1737.83 0.0145354 10 2 0.731141 10 1 0.750695 10 3 0.139521 10 6 0.10412 10 6 0.135621 10 2 0.471972 10 3 0.248617 10 2 0.465208 10 1 0.6 0 0 3860 3266
170 -1716.98 0.0150735 10 1 0.731141 10 0 0.943491 10 6 0.371059 10 1 0.0615638 10 3 0.224667 10 3 0.471972 10 0 0.248617 10 0 0.144029 10 6 0.6 0 0 3860 3210
180 -1745.69 0.013667 10 2 0.704034 10 4 0.56273 10 3 0.144671 10 2 0.148702 10 3 0.128823 10 2 0.621405 10 1 0.322222 10 4 0.294138 10 4 0.6 0 0 3860 3179
190 -1711.01 0.0147151 10 2 0.827305 10 4 0.56273 10 0 0.208321 10 2 0.110313 10 3 0.116821 10 6 0.428709 10 1 0.14649 10 4 0.130428 10 4 0.6 0 0 3860 3159
