iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSAV rSAV_p rSAV_a rSAVI rSAVI_p rSAVI_a rSAI rSAI_p rSAI_a rSC rSC_p rSC_a rSCI rSCI_p rSCI_a rInfVac rInfVac_p rInfVac_a rAsymptomatic rAsymptomatic_p rAsymptomatic_a data_p data_a
0 -2093.04 0.0002 0 0 0.2 0 0 0.5 0 0 0.2 0 0 0.6 0 0 0.3 0 0 1.5 0 0 0.8 0 0 0.3 0 0 0.6 0 0 0 0
10 -1597.74 0.000572756 10 5 0.704523 10 3 0.508205 10 1 0.854232 10 2 0.262607 10 7 0.357872 10 1 0.559115 10 2 0.412727 10 1 0.438338 10 7 0.6 0 0 3630 2754
20 -1605.58 0.00394909 10 5 0.759351 10 1 0.715134 10 2 0.215484 10 3 0.128182 10 3 0.357872 10 0 0.42836 10 2 0.358991 10 1 0.210342 10 5 0.6 0 0 3630 2728
30 -1650.68 0.0165838 10 5 0.631306 10 1 0.962103 10 6 0.0773521 10 5 0.253033 10 5 0.115851 10 7 0.474633 10 2 0.358991 10 0 0.134147 10 4 0.6 0 0 3630 2864
40 -1651.86 0.0194407 10 3 0.671572 10 1 0.845301 10 4 0.150944 10 4 0.230747 10 5 0.107588 10 2 0.396506 10 1 0.118828 10 4 0.27682 10 4 0.6 0 0 3630 3121
50 -1625.48 0.0218964 10 2 0.551477 10 2 1.14439 10 4 0.183245 10 3 0.160462 10 3 0.0978193 10 1 0.578188 10 3 0.165338 10 4 0.340827 10 6 0.6 0 0 3630 3094
60 -1635.71 0.0218964 10 0 0.531366 10 2 0.653048 10 4 0.249894 10 2 0.173206 10 4 0.115478 10 3 0.649109 10 4 0.35813 10 6 0.0719057 10 5 0.6 0 0 3630 3084
70 -1640.57 0.0134067 10 2 0.598535 10 3 0.492093 10 6 0.360815 10 4 0.193789 10 6 0.171919 10 3 0.617497 10 7 0.194276 10 2 0.0900873 10 7 0.6 0 0 3630 3077
80 -1655.28 0.017335 10 2 0.546602 10 1 0.733629 10 5 0.13354 10 1 0.317918 10 4 0.140149 10 2 0.713616 10 1 0.110382 10 2 0.201036 10 2 0.6 0 0 3630 3062
90 -1648.84 0.0200133 10 1 0.473318 10 1 1.10531 10 4 0.405768 10 2 0.230772 10 3 0.0788454 10 3 0.676934 10 2 0.153088 10 3 0.398534 10 3 0.6 0 0 3630 3100
100 -1654.16 0.0143794 10 2 0.635023 10 2 0.999062 10 5 0.155377 10 1 0.38583 10 4 0.137418 10 3 0.676934 10 0 0.143358 10 1 0.700731 10 5 0.6 0 0 3630 3078
110 -1624.52 0.0131807 10 1 0.692959 10 2 0.807145 10 4 0.278538 10 2 0.124341 10 4 0.137418 10 0 0.489086 10 4 0.195227 10 1 0.115297 10 6 0.6 0 0 3630 2962
120 -1642.98 0.0171664 10 3 0.905656 10 2 0.438536 10 2 0.397335 10 1 0.212282 10 3 0.0682466 10 3 0.447096 10 1 0.213111 10 2 0.283893 10 4 0.6 0 0 3630 3033
130 -1625.55 0.0171989 10 1 0.520536 10 3 0.717853 10 2 0.397335 10 0 0.101398 10 5 0.179068 10 3 0.645165 10 3 0.173082 10 5 0.300381 10 4 0.6 0 0 3630 3022
140 -1654.84 0.0184433 10 2 0.629884 10 4 0.631517 10 3 0.482895 10 3 0.30627 10 5 0.212631 10 3 0.532331 10 2 0.23854 10 4 0.379098 10 2 0.6 0 0 3630 3036
150 -1641.56 0.0220123 10 2 0.429783 10 4 1.41615 10 4 0.238457 10 3 0.342506 10 4 0.0665983 10 3 0.691261 10 1 0.23854 10 0 0.838222 10 5 0.6 0 0 3630 3138
160 -1658.49 0.0197674 10 1 0.614472 10 2 0.60377 10 6 0.250323 10 2 0.0308178 10 5 0.133777 10 1 0.374151 10 4 0.23854 10 0 0.0803826 10 2 0.6 0 0 3630 3120
